Dragon,Rarity,BreedAvailability,BreedElementOne,BreedElementTwo,BreedElementTwo,BreedElementThree,BreedElementFive,BreedDragonOne,BreedDragonTraitOne,BreedDragonTwo,BreedDragonTraitTwo,RequiredRiftAlignment,RequiredRiftTrait,OppositeElements,RequiredElementCount,RequiredTimeOfDay,RequiredWeather,RequiredCave,BreedTime,BreedElements,OwnZeroBreedPercentage,OwnOneBreedPercentage,OwnTwoBreedPercentage,NormalSingleClonePercentage,NormalDoubleClonePercentage,SocialSingleClonePercentage,SocialDoubleClonePercentage,RiftSingleClonePercentage,RiftDoubleClonePercentage,VisibleElements,EvolvesFrom,Riftable,Elderable,EarnGold,EarnEtherium,EarnGem,MagicCost,EventSection,ReqiuredTrait,Quest,AirCollection,AnniversaryCollection,ApocalypseCollection,AuraCollection,AutumnCollection,CampingCollection,CelebrationCollection,ChrysalisCollection,ColdCollection,CrystallineCollection,DarkCollection,DreamCollection,EarthCollection,EnhancedCollection,FireCollection,GalacticCollection,GemstoneAllCollection,GemstoneAutumnCollection,GemstoneSpringCollection,GemstoneSummerCollection,GemstoneWinterCollection,GhostlyCollection,HiddenCollection,LegendaryCollection,LightCollection,LightningCollection,LoveCollection,MelodyCollection,MetalCollection,MonolithCollection,MoonCollection,MythicCollection,OlympusCollection,OmofNomsCollection,OrnamentalCollection,OvalithCollection,ParadiseCollection,PlantCollection,RainbowCollection,RiftCollection,SeasonalCollection,SnowflakeCollection,SpookyCollection,SummerCollection,SunCollection,SurfaceCollection,TreasureCollection,VernalCollection,VintageCollection,WaterCollection,WinterCollection,ZodiacCollection
Dazzle,Epic,unavailable,moon,sun,lightning,dark,,,,,,,,,,,,,61200,LDSuMo,0.02,,,0.0075,0.3,0.015,0.05,0.0075,0.3,LDSuMo,,true,false,177,240000,,,,,A Star is Bred,,,,,,,,,,,,,,Enhanced,,,,,,,,,,,,,,,,,Moon,,,,,,Paradise,,,,,,,,Sun,,,,,,,
Dazzling,Epic,unavailable,ornamental,ornamental,,,,,,,,,,,,,,,198000,PFECOr,0.005,,,0.0025,0.05,0.005,0.05,0.005,,Or,,true,false,76,240000,,,,,Fulgent Foray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ornamental,,,,,,,,,,,,,,,,Winter,
Decay,Rare,unavailable,fire,earth,cold,,,,,,,,,,,,,,86400,FEC,0.04,,,0,0.3,0,0.1,,0.3,FEC,,true,false,667,360000,,6080,2,,Land Without Candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spooky,,,,,,,,,
Delicia,Epic,unavailable,dream,,,,,Glimmerwing,,,,,,,,,,,108000,PFECWLAMIDDr,0.02,,,0.01,0.3,0.01,0.05,0.01,0.3,ADr,,true,false,200,240000,,,,,D for Delici(ous),,,,,,,,,,,,Dream,,,,,,,,,,,,,,,,,,,,,,,,,Paradise,,,,,,,,,,,,,,,
Delight,Epic,unavailable,plant,fire,cold,,,,,,,,,,,,,,129600,PFCAu,0.03,,,,,0.01,0.05,,,Au,,true,false,180,240000,,,,,Manic Antics,,,,Aura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delirium,Epic,unavailable,,,,,,Hypnotic,,Dream,,,,,,,,,86400,FEADr,0.02,0.01,,,,0.02,0.05,,,Dr,,true,false,135,240000,,,,,Final Fever,,,,,,,,,,,,Dream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derecho,Rare,permanent,air,cold,,,,,,,,,,,,,,,57600,CA,0.025,,,0.01,0.3,0.04,0.15,0.01,0.3,CA,,true,false,430,360000,,,,,Adrenaline Rush,Air,,,,,,,,Cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamond,Gemstone,unavailable,,,,,,Ice,,Mine,,,,,,,,,108000,CWMGe,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Ge,,true,false,,240000,120960000,,,,Carbon Craze,,,,,,,,,,,,,,,,,Gemstone All,,Gemstone Spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diggy,Epic,unavailable,,,,,,Bloatato,,Gourd,,,,,,,,,108000,PFEWADHi,0.0225,,,0.05,0.3,0.01,0.15,0.05,0.3,Hi,,true,false,130,240000,,,,,Diggy Diggy Hole,,,,,,,,,,,,,,,,,,,,,,,Hidden,,,,,,,,,,,Om of Noms,,,,,,,,,,,,,,,,,,
Dittoglide,Epic,permanent,,,,,,Duskwing,,Lacewing,,,,,,,,,54000,PFECCh,0.02,,,,0.3,0.01,0.05,,0.3,Ch,,true,false,200,240000,,,,,Frequent Flier,,,,,,,,Chrysalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divi,Rare,unavailable,,,,,,Buttercup,,Rosebud,,,,,,,,,64800,PEAI,0.028,,,0.01,0.3,0.1,0.2,0.01,0.3,PEAI,,true,false,178,360000,,,,,Rosa Rubiginosa,,,,,,,,,,,,,,,,,,,,,,,,,,,Love,,,,,,,,,,,,,,,,,,,,,,,,,
Djinni,Epic,unavailable,lightning,water,air,metal,,,,,,,,,,,,,172800,WLAMTr,0.005,,,0.05,,0.01,0.05,0.05,,Tr,,true,false,125,240000,,,,,Cave of Wanderers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treasure,,,,,
Dodo,Rare,permanent,earth,air,,,,,,,,,,,,,,,57600,EA,0.05,,,0.01,,0.04,0.15,0.01,,EA,,true,false,750,360000,,,,,Fight or Fight,Air,,,,,,,,,,,,Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dortal,Rare,unavailable,,,,,,Kwall,,Iden,,,,,,,,,61200,PAID,0.035,,,0.01,0.3,0.1,0.2,0.01,0.3,PAID,,true,false,200,360000,,8560,1,,Ribgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spooky,,,,,,,,,
Double Leap Year,Epic,unavailable,,,,,,,,,,,,,4,,,,104400,PFECWLAMIDRb,0.03,0.01,,,0.25,0.01,0.05,,0.25,Rb,,true,false,77,240000,,,,,Twice Leapt Valley,,,,,,,Celebration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rainbow,,,,,,,,,,Vintage,,,
Double Rainbow,Epic,permanent,,,,,,,,,,,,,4,,,,216000,PFECWLAMIDRb,0.005,,,0.0025,0.25,0.005,0.05,0.0025,0.1,Rb,,true,false,77,240000,,,,,Doublehue Ditch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rainbow,,,,,,,,,,,,,
Dracabra,Rare,unavailable,,,,,,Lycan,,Decay,,,,,,,,,43200,PFEL,0.04,,,0.01,,0.015,0.1,0.01,,PFEL,,true,false,650,360000,,1900,1,,Hanging In There,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spooky,,,,,,,,,
Dream,Epic,permanent,light,dark,,,,,,,,,,,4,,,,180000,PFECWLAMIDDr,0.01,,,,,0.01,0.1,,,Dr,,true,false,100,240000,,,,,Island of Illusions,,,,,,,,,,,,Dream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drifter,Rare,permanent,water,metal,,,,,,,,,,,,,,,21600,WM,0.04,,,0.01,0.3,0.04,0.15,0.01,0.3,WM,,true,false,980,360000,,,,,Flowing Riffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metal,,,,,,,,,,,,,,,,,,,,,Water,,
Dungeon,Hybrid,permanent,dark,fire,,,,,,,,,,,,,,,54000,FD,,,,0.01,,0.1,0.2,0.01,,FD,,true,false,840,360000,,,,,Boss Stage,,,,,,,,,,,Dark,,,,Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dusk,Epic,unavailable,,,,,,Sun,,Moon,,,,,,night,,,72000,CLSuMo,0.01,,,,,0.01,0.05,,,SuMo,,true,false,115,240000,,,,,Half-light Hunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moon,,,,,,,,,,,,,,Sun,,,,,,,
Duskwing,Epic,permanent,,,,,,Lacewing,,Chrysalis,,,,,,,,,120000,PFECh,0.06,0.04,,,0.3,0.01,0.05,,0.3,Ch,,true,false,650,240000,,,,,Twilight Flight,,,,,,,,Chrysalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth,Primary,permanent,,,,,,,,,,,,EA,,,,,7200,E,,,,0,,0,,0,,E,,false,true,1600,,,,,,,,,,,,,,,,,,,Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Rift,Primary Rift,permanent,,,,,,,,,,,,,,,,rift,172800,ER,,,,0,0,0,0,0.01,0.15,ER,,true,false,400,360000,,,,E,A Rift Aground,,,,,,,,,,,,,Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,Rift,,,,,,,,,,,,
Efreet,Epic,unavailable,,,,,,Djinni,,Misfortune,,,,,,,,,93600,PFCWLAMTr,0.043,,,0.05,0.3,0.015,0.15,0.05,0.3,Tr,,true,false,105,240000,,,,,Ominous Wishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treasure,,,,,
Eldritch,Rare,unavailable,fire,plant,earth,cold,,,,,,,,,,,,,86400,PFEC,0.04,,,0.0075,0.3,0.015,0.1,0.0075,0.3,PFEC,,true,false,600,360000,,11500,3,,Shrouded in Mystery,,,,,,,,,,,,,,Enhanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spooky,,,,,,,,,
Electrum,Epic,permanent,lightning,metal,,,,,,,,,,,,,,,171000,LMTr,0.025,,,,,0.02,0.1,,,Tr,,true,false,225,240000,,,,,Stater's Stash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treasure,,,,,
Elegant,Epic,unavailable,moon,sun,plant,light,,,,,,,,,,,,,43200,PISuMo,0.02,,,0.0075,0.3,0.015,0.05,0.0075,0.3,PISuMo,,true,false,190,240000,,,,,Grand Entrance,,,,,,,,,,,,,,Enhanced,,,,,,,,,,,,,,,,,Moon,,,,,,Paradise,,,,,,,,Sun,,,,,,,
Elkar,Rare,unavailable,,,,,,Reindeer,,Snowflake 7,,,,,,,,,93600,PEC,0.03,,,0.01,0.3,0.1,0.2,0.01,0.3,PEC,,true,false,110,360000,,,,,Let It Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winter,
Elysium,Epic,unavailable,,,,,,Gold Olympus,,Dream,,,,,,,,,172800,ELAIDrOl,0.06,0.03,,,,0.02,0.05,,,DrOl,,true,false,125,240000,,,,,West Wind Warning,,,,,,,,,,,,Dream,,,,,,,,,,,,,,,,,,,,,Olympus,,,,,,,,,,,,,,,,,,,
Ember,Hybrid,permanent,fire,light,,,,,,,,,,,,,,,28800,FI,,,,0.01,,0.1,0.2,0.01,,FI,,true,false,940,360000,,,,,Conflagration Course,,,,,,,,,,,,,,,Fire,,,,,,,,,,Light,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embossed,Rare,unavailable,metal,earth,cold,lightning,,,,,,,,,,,,,129600,ECLM,0.005,,,0.3,,0.02,0.1,0.3,,ECLM,,true,false,315,360000,,,,,Alloy Analysis,,Anniversary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerald,Gemstone,unavailable,,,,,,Lichen,,Crystal,,,,,,,,,111600,PECLGe,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Ge,,true,false,,240000,120960000,,,,The Sedna Mountains,,,,,,,,,,,,,,,,,Gemstone All,,Gemstone Spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfis,Epic,unavailable,,,,,,,,,,,,,4,,,,104400,PFECWLAMIDRb,0.03,0.01,,0.05,0.3,0.03,0.05,0.05,0.3,Rb,,true,false,300,240000,,,,,Slippery Companion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paradise,,Rainbow,,,,,,,,,,,,,
Entwined,Epic,unavailable,,,,,,Love,,Sweetheart,,,,,,,,,93600,PFECLAu,0.025,,,0.01,0.3,0.04,0.15,0.01,0.3,Au,,true,false,145,240000,,,,,Partner In Crime,,,,Aura,,,,,,,,,,,,,,,,,,,,,,,Love,,,,,,,,,,,,,,,,,,,,,,,,,
Epoch,Rare,unavailable,,,,,,Bloom,,Bearded,,,,,,,,,111600,PECL,0.12,0.07,,0.05,,0.01,0.05,0.05,,PECL,,true,false,320,360000,,,,,The Great Sneeze,,,,,,,Celebration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equinox,Epic,unavailable,water,,,,,Blazing,,,,,,,,,,,86400,FWASuMo,0.03,0.02,,,,0.02,0.05,,,SuMo,,true,false,175,240000,,,,,Hemisphere Mutineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moon,,,,,,,,,,,,,,Sun,,,,,,,
Eridanian,Galaxy,permanent,,,,,,,,,,,,,,,,social,64800,PECIGa,,,,0,0,0.05,0.2,0,0,Ga,,true,false,104,240000,,,,,Stellar Core,,,,,,,,,,,,,,,,Galactic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etch,Rare,permanent,dark,plant,,,,,,,,,,,,,,,43200,PD,0.05,,,0.01,0.3,0.1,0.2,0.01,0.3,PD,,true,false,100,360000,,6720,1,,Heart Of The Swamp,,,,,,,,,,,Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,Plant,,,,,,,,,,,,,,
Euryale,Rare,unavailable,,,,,,Mylio,,Ikatako,,,,,,,,,86400,WID,0.04,,,0.05,0.3,0.01,0.15,0.05,0.3,WID,,true,false,190,360000,,,,,Rock the Boat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paradise,,,,,,,,,,,,,,,
Eve,Epic,permanent,cold,water,metal,,,,,,,,,,,,,,82800,CWMSf,0.01,,,0.01,0.25,0.015,0.1,0.01,0.25,Sf,,true,false,300,240000,,,,,Silverfalls Gorge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface,,,,,,
Everfrost,Rare,unavailable,,,,,,Starshine,,Dazzling,,,,,,,,,57600,PFEC,0.0395,,,0.01,0.3,0.1,0.2,0.01,0.3,PFEC,,true,false,215,360000,,,,,Stay Frosty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winter,
Evergreen,Hybrid,permanent,plant,cold,,,,,,,,,,,,,,,36000,PC,,,,0.01,,0.1,0.2,0.01,,PC,,true,false,850,360000,,,,,Neverblue Woods,,,,,,,,,Cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plant,,,,,,,,,,,,,,
Eww,Rare,unavailable,,,,,,Ooze,,Dortal,,,,,,,,,57600,PWAD,0.0465,,,0.01,0.3,0.1,0.2,0.01,0.3,PWAD,,true,false,230,360000,,13500,4,,Gloop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spooky,,,,,,,,,
Exandrew,Rare,unavailable,earth,fire,air,,,,,,,,,,,,,,86400,FEA,0.03,,,0.05,0.3,0.05,0.1,0.05,0.3,FEA,,true,false,240,360000,,,,,Roll For Initiative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paradise,,,,,,,,,,,,,,,
Fae,Epic,unavailable,,,,,,Glasswing,,Snooz,,,,,,,,,93600,WAIDDr,0.04,,,0.05,0.3,0.01,0.15,0.05,0.3,Dr,,true,false,90,240000,,,,,A Magical Puff,,,,,,,,,,,,Dream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vernal,,,,
Faire,Rare,unavailable,lightning,plant,cold,metal,,,,,,,,,,,,,194400,PCLM,0.005,,,0.0025,,0.01,0.1,0.0025,,PCLM,,true,false,310,360000,,,,,Fair is Fair,,,,,,,Celebration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summer,,,,,,,,
Fates,Epic,unavailable,plant,fire,water,,,,,,,,,,,,,,72000,PFWOl,0.015,,,0.05,0.3,0.01,0.05,0.05,0.3,Ol,,true,false,299,240000,,,,,Triad Trench,,,,,,,Celebration,,,,,,,,,,,,,,,,,,,,,,,,,,Olympus,,,,,,,,,,,,,,,,Vintage,,,
Faux,Epic,permanent,,,,,,Glowwing,,Swallowtail,,,,,,,,,68700,PFECCh,0.02,,,,0.3,0.01,0.05,,0.3,Ch,,true,false,190,240000,,,,,Monster Mimicry,,,,,,,,Chrysalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feast,Rare,unavailable,plant,earth,light,,,,,,,,,,,,,,86400,PEI,0.05,,,0.01,,0.02,0.1,0.01,,PEI,,true,false,650,360000,,,,,The Fattening,,,,,Autumn,,Celebration,,,,,,,,,,,,,,,,,,,,,,,,,,,Om of Noms,,,,,,,,,,,,,,,,,,
Festive,Epic,unavailable,plant,earth,cold,,,,,,,,,,,,,,90000,PECSf,0.015,,,0.01,0.2,0.015,0.1,0.01,0.2,Sf,,true,false,180,240000,,,,,Jingle Jangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface,,,,,,
Fever,Rare,permanent,cold,fire,,,,,,,,,,,,,,,32400,FC,0.035,,,0.01,0.3,0.04,0.15,0.01,0.3,FC,,true,false,725,360000,,,,,Cold Sweat,,,,,,,,,Cold,,,,,,Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire,Primary,permanent,,,,,,,,,,,,FC,,,,,300,F,,,,0,,0,,0,,F,,false,true,800,,,,,,,,,,,,,,,,,,,,,Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Rift,Primary Rift,permanent,,,,,,,,,,,,,,,,rift,172800,FR,,,,0,0,0,0,0.01,0.15,FR,,true,false,400,360000,,,,F,Chaotic Encounter,,,,,,,,,,,,,,,Fire,,,,,,,,,,,,,,,,,,,,,,,,,Rift,,,,,,,,,,,,
Fireflight,Rare,unavailable,air,fire,,,,,,,,,,,,,,,79200,FA,0.04,,,0.01,0.3,0.015,0.1,0.01,0.3,FA,,true,false,450,360000,,,,,Hot Air Hullabaloo,,,,,,,Celebration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firefly,Hybrid,permanent,lightning,fire,,,,,,,,,,,,,,,10800,FL,,,,0.01,,0.1,0.2,0.01,,FL,,true,false,700,360000,,,,,Cold Light Chase,,,,,,,,,,,,,,,Fire,,,,,,,,,,,Lightning,,,,,,,,,,,,,,,,,,Summer,,,,,,,,
Firework,Rare,unavailable,fire,air,,,,,,,,,,,,,,,21600,FA,0.04,,,0.01,,0.025,0.1,0.01,,FA,,true,false,950,360000,,,,,Explosions in the Sky,,,,,,,Celebration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summer,,,,,,,,
Fissure,Rare,permanent,dark,earth,,,,,,,,,,,,,,,54000,ED,0.05,,,0.01,0.3,0.04,0.15,0.01,0.3,ED,,true,false,665,360000,,,,,Laki Chasm,,,,,,,,,,,Dark,,Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flash,Hybrid,permanent,lightning,light,,,,,,,,,,,,,,,21600,LI,,,,0.01,,0.1,0.2,0.01,,LI,,true,false,1040,360000,,,,,Scarlet Sprint,,,,,,,,,,,,,,,,,,,,,,,,,Light,Lightning,,,,,,,,,,,,,,,,,,,,,,,,,,
Flicker,Epic,unavailable,earth,,,,,Gift,,,,,,,,,,,90000,PFECOr,0.04,,,0.05,,0.01,0.05,0.05,,Or,,true,false,180,240000,,,,,Glimmer Grotto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ornamental,,,,,,,,,,,,,,,,Winter,
Flickerflame,Rare,permanent,fire,cold,,,,,,,,,,,,,,,50400,FC,0.05,,,0.01,0.3,0.1,0.1,0.01,0.3,FC,,true,false,350,360000,,,,,Flame and Flicker,,,,,,,,,Cold,,,,,,Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florea,Rare,unavailable,,,,,,Rosebud,,Woodvine,,,,,,,,,100800,PFEA,0.045,,,0.01,0.3,0.1,0.2,0.01,0.3,PFEA,,true,false,140,360000,,,,,The Perfect Caregiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vernal,,,,
Flower,Hybrid,permanent,fire,plant,,,,,,,,,,,,,,,3600,PF,,,,0.01,,0.1,0.2,0.01,,PF,,true,false,650,360000,,,,,Floral Quarrel,,,,,,,,,,,,,,,Fire,,,,,,,,,,,,,,,,,,,,,,,Plant,,,,,,,,,,,,,,
Flowerhop,Rare,unavailable,air,light,earth,plant,,,,,,,,,,,,,79200,PEAI,0.03,,,0.01,0.3,0.1,0.2,0.01,0.3,PEAI,,true,false,360,360000,,,,,Treehop Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vernal,,,,
Fluffles,Rare,unavailable,air,light,cold,,,,,,,,,,,,,,57600,CAI,0.045,,,0.01,0.3,0.1,0.2,0.01,0.3,CAI,,true,false,220,360000,,,,,Huggie Snuggie,,,,,,,Celebration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluorescent,Rare,permanent,light,cold,,,,,,,,,,,,,,,39600,CI,0.05,,,0.01,,0.04,0.15,0.01,,CI,,true,false,850,360000,,,,,Debunking Spelunking,,,,,,,,,Cold,,,,,,,,,,,,,,,,Light,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flurry,Rare,unavailable,cold,air,water,,,,,,,,,,,,,,64800,CWA,0.04,,,0.01,0.3,0.015,0.1,0.01,0.3,CWA,,true,false,500,360000,,,,,It Came From the Clouds,,,,,,,Celebration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fog,Hybrid,permanent,water,air,,,,,,,,,,,,,,,28800,WA,,,,0.01,,0.1,0.2,0.01,,WA,,true,false,750,360000,,,,,Miasma Menace,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water,,
Fomhar,Epic,unavailable,,,,,,Seasonal,,Autumn,,,,,,,,,82800,PFCASe,0.0325,,,0.01,0.3,0.1,0.2,0.01,0.3,Se,,true,false,220,240000,,,,,Pillar of Autumn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Om of Noms,,,,,,,Seasonal,,,,,,,,,,,
Forest,Rare,permanent,plant,earth,,,,,,,,,,,,,,,14400,PE,0.05,,,0.01,,0.04,0.15,0.01,,PE,,true,false,900,360000,,,,,Copse Consternation,,,,,,,,,,,,,Earth,,,,,,,,,,,,,,,,,,,,,,,,,Plant,,,,,,,,,,,,,,
Forge,Hybrid,permanent,fire,metal,,,,,,,,,,,,,,,86400,FM,,,,0.01,,0.1,0.2,0.01,,FM,,true,false,900,360000,,,,,Smithy Snafu,,,,,,,,,,,,,,,Fire,,,,,,,,,,,,,,Metal,,,,,,,,,,,,,,,,,,,,,,,
Frond,Rare,permanent,plant,water,,,,,,,,,,,,,,,50400,PW,0.05,,,0.01,0.3,0.1,0.2,0.01,0.3,PW,,true,false,410,360000,,,,,Righteous Relaxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plant,,,,,,,,,,,,Water,,
Frons,Epic,unavailable,hidden,plant,metal,,,,,,,,,,,,,,75600,PMHi,0.02,,,0.05,0.3,0.01,0.1,0.05,0.3,PMHi,,true,false,200,240000,,,,,Falling for You,,,,,,Camping,,,,,,,,,,,,,,,,,Hidden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frostbite,Rare,permanent,cold,dark,,,,,,,,,,,,,,,14400,CD,0.05,,,0.01,,0.04,0.15,0.01,,CD,,true,false,850,360000,,,,,Icebitten,,,,,,,,,Cold,,Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frostfire,Rare,permanent,cold,fire,,,,,,,,,,,,,,,43200,FC,0.05,,,0.01,,0.04,0.15,0.01,,FC,,true,false,366,360000,,,,,Palagos Islands,,,,,,,,,Cold,,,,,,Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frostflower,Rare,permanent,plant,cold,,,,,,,,,,,,,,,36000,PC,0.05,,,0.01,0.3,0.04,0.15,0.01,0.3,PC,,true,false,750,360000,,,,,Just Right Gauntlet,,,,,,,,,Cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plant,,,,,,,,,,,,,,
Frostfluff,Rare,permanent,cold,earth,rift,,,,,,,cold,,,,,,rift,0,ECR,0.03,,,0,0,0,0,0.01,0.15,ECR,,true,false,450,360000,,,,C,Fluff Bluff,,,,,,,,,Cold,,,,Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,Rift,,,,,,,,,,,,
Fuefuego,Rare,unavailable,fire,earth,,,,Armament,,,,,,,,,,,93600,FEMI,0.0425,,,0.01,0.3,0.1,0.2,0.01,0.3,FEMI,,true,false,110,360000,,,,,Dare Devil,,,,,,,Celebration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulgurite,Rare,permanent,earth,lightning,,,,,,,,,,,,,,,57600,EL,0.0225,,,0.01,0.3,0.04,0.15,0.01,0.3,EL,,true,false,750,360000,,,,,Charged Assumptions,,,,,,,,,,,,,Earth,,,,,,,,,,,,,Lightning,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungus,Hybrid,permanent,plant,dark,,,,,,,,,,,,,,,46800,PD,,,,0.01,,0.1,0.2,0.01,,PD,,true,false,1012,360000,,,,,Blight Blockade,,,,,,,,,,,Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,Plant,,,,,,,,,,,,,,
Funis,Rare,unavailable,,,,,,Wick,,Bog,,,,,,,,,57600,PFWI,0.05,,,0.01,0.3,0.1,0.2,0.01,0.3,PFWI,,true,false,200,360000,,7360,1,,Nope Rope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spooky,,,,,,,,,
Fury,Epic,unavailable,,,,,,Misfortune,,Snowpocalypse,,,,,,,,,165600,PECLAMAp,0.03,,,0.05,0.3,0.01,0.05,0.05,0.3,Ap,,true,false,110,240000,,9000,1,,Inception Misconception,,,Apocalypse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fushi,Rare,unavailable,plant,air,,,,Flowerhop,,,,,,,,,,,100800,PEAI,0.045,,,0.01,0.3,0.1,0.2,0.01,0.3,PEAI,,true,false,130,360000,,,,,An Experimental Surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vernal,,,,
Gaia,Legendary,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legendary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamma,Hybrid,permanent,light,lightning,,,,,,,,,,,,,,,68400,LI,,,,0.01,,0.1,0.2,0.01,,LI,,true,false,745,360000,,,,,Ray of Rage,,,,,,,,,,,,,,,,,,,,,,,,,Light,Lightning,,,,,,,,,,,,,,,,,,,,,,,,,,
