Dragon,Rarity,BreedAvailability,BreedElementOne,BreedElementTwo,BreedElementTwo,BreedElementThree,BreedElementFive,BreedDragonOne,BreedDragonTraitOne,BreedDragonTwo,BreedDragonTraitTwo,RequiredRiftAlignment,RequiredRiftTrait,RequiredElementCount,RequiredTimeOfDay,RequiredWeather,RequiredCave,BreedTime,BreedElements,BaseBreedChance,OwnOneBreedChance,OwnTwoBreedChance,NormalSingleClone,NormalDoubleClone,SocialSingleClone,SocialDoubleClone,RiftSingleClone,RiftDoubleClone,VisibleElements,EvolvesFrom,Riftable,Elderable,EarnGold,EarnEtherium,EarnGem,MagicCost,EventSection,ReqiuredTrait,Quest
Ghostly Evergreen,Rare,unavailable,,,,,,Ghostly Plant,,Ghostly Cold,,,,,,,,43200,PC,0.03,,,0.1,0.3,0.1,0.2,0.1,0.3,PC,,FALSE,FALSE,820,,,,,,Poltergeist Pine
Ghostly Fire,Rare,cloneable,,,,,,,,,,,,,,,,300,F,0,,,0,,0,,0,,F,Fire,FALSE,TRUE,800,,,2800,,,
Ghostly Flower,Rare,unavailable,,,,,,Ghostly Fire,,Ghostly Plant,,,,,,,,3600,PF,0.03,,,0.1,0.3,0.1,0.2,0.1,0.3,PF,,FALSE,FALSE,650,,,,,,Audrey Two
Ghostly Ghost,Rare,unavailable,,,,,,Ghostly Cold,,Ghostly Earth,,,,,,,,55800,EC,0.03,,,0.1,0.3,0.1,0.2,0.1,0.3,EC,,FALSE,FALSE,1000,360000,,2000,,,Apparent Apparition
Ghostly Gift,Rare,unavailable,,,,,,Ghostly Evergreen,,Ghostly Fire,,,,,,,,44700,PFC,0.03,,,0.1,0.3,0.1,0.2,0.1,0.3,PFC,,FALSE,FALSE,500,,,,,,Forever Wrapped
Ghostly Glacier,Rare,unavailable,,,,,,Ghostly Earth,,Ghostly Cold,,,,,,,,39600,EC,0.03,,,0.1,0.3,0.1,0.2,0.1,0.3,EC,,FALSE,FALSE,1200,360000,,2000,,,The Floe Beyond
Ghostly Krampus,Rare,unavailable,,,,,,Ghostly Coal,,Ghostly Cold,,,,,,,,90000,FEC,0.03,,,0.1,0.3,0.1,0.2,0.1,0.3,FEC,,FALSE,FALSE,430,,,,,,Worse Than Coal...
Ghostly Kringle,Rare,unavailable,,,,,,Ghostly Trinket,,Ghostly Earth,,,,,,,,90000,PFEC,0.03,,,0.1,0.3,0.1,0.2,0.1,0.3,PFEC,,FALSE,FALSE,430,,,,,,Ebenezer's Enemy
Ghostly Lava,Rare,unavailable,,,,,,Ghostly Earth,,Ghostly Fire,,,,,,,,39600,FE,0.03,,,0.1,0.3,0.1,0.15,0.1,0.3,FE,,FALSE,FALSE,1200,360000,,2000,,,Morbid Molten Motive
Ghostly Lichen,Rare,unavailable,,,,,,Ghostly Plant,,Ghostly Cold,,,,,,,,28800,PC,0.03,,,0.1,0.3,0.1,0.2,0.1,0.3,PC,,FALSE,FALSE,855,,,,,,Likely a Lich
Ghostly Moss,Rare,unavailable,,,,,,Ghostly Plant,,Ghostly Earth,,,,,,,,43200,PE,0.03,,,0.1,0.3,0.1,0.2,0.1,0.3,PE,,FALSE,FALSE,1050,,,,,,A Swamp Thing
Ghostly Mountain,Rare,unavailable,,,,,,Ghostly Cold,,Ghostly Earth,,,,,,,,54000,EC,0.03,,,0.1,0.3,0.1,0.2,0.1,0.3,EC,,FALSE,FALSE,1400,360000,,2000,,,Summit Scare
Ghostly Nosferatu,Rare,unavailable,,,,,,Ghostly Mountain,,Ghostly Fire,,,,,,,,46800,FEC,0.03,,,0.1,0.3,0.1,0.2,0.1,0.3,FEC,,FALSE,FALSE,750,360000,,2000,,,Whitbee's Visitation
Ghostly Obsidian,Rare,unavailable,,,,,,Ghostly Fire,,Ghostly Earth,,,,,,,,32400,FE,0.03,,,0.1,0.3,0.1,0.15,0.1,0.3,FE,,FALSE,FALSE,1100,360000,,2000,,,The Haunting of Wrothmoore
Ghostly Oni,Rare,unavailable,,,,,,Ghostly Lava,,Ghostly Cold,,,,,,,,43200,FEC,0.03,,,0.1,0.3,0.1,0.2,0.1,0.3,FEC,,FALSE,FALSE,650,360000,,2000,,,Home Sweet Horror
Ghostly Plant,Rare,cloneable,,,,,,,,,,,,,,,,5,P,0,,,0,,0,,0,,P,Plant,FALSE,TRUE,320,,,2800,,,
Ghostly Poison,Rare,unavailable,,,,,,Ghostly Plant,,Ghostly Fire,,,,,,,,1800,PF,0.03,,,0.1,0.3,0.1,0.2,0.1,0.3,PF,,FALSE,FALSE,700,,,,,,Rocky Horror Tincture Show
Ghostly Spectre,Rare,unavailable,,,,,,Ghostly Cold,,Ghostly Earth,,,,,,,,43200,EC,0.03,,,0.1,0.3,0.1,0.2,0.1,0.3,EC,,FALSE,FALSE,755,360000,,2000,,,A Telltale Return
Ghostly Spirit,Rare,unavailable,,,,,,Ghostly Ghost,,Ghostly Spectre,,,,,,,,54000,EC,0.03,,,0.1,0.3,0.1,0.2,0.1,0.3,EC,,FALSE,FALSE,755,360000,,2000,,,Visitation Manifestation
Ghostly Tree,Rare,unavailable,,,,,,Ghostly Plant,,Ghostly Earth,,,,,,,,50400,PE,0.03,,,0.1,0.3,0.1,0.2,0.1,0.3,PE,,FALSE,FALSE,1100,,,,,,Spectral Spruce
Ghostly Trinket,Rare,unavailable,,,,,,Ghostly Poison,,Ghostly Cold,,,,,,,,43200,PFC,0.03,,,0.1,0.3,0.1,0.2,0.1,0.3,PFC,,FALSE,FALSE,500,,,,,,Pandora's Box
Giddle,Rare,unavailable,earth,plant,light,,,,,,,,,,,,,72000,PEI,0.03,,,0.01,0.3,0.015,0.05,0.05,0.3,PEI,,TRUE,FALSE,200,360000,,,,,The Perfect Gift
Gift,Rare,unavailable,plant,fire,cold,,,,,,,,,,,,,44700,PFC,0.07,,,0.01,,0.05,0.1,0.01,,PFC,,TRUE,FALSE,500,360000,,,,,Giving Gulch
Gildamane,Epic,permanent,,,,,,Lacewing,,Starwing,,,,,,,,56850,PFECCh,0.02,,,,0.3,0.01,0.05,,0.3,Ch,,TRUE,FALSE,210,240000,,,,,The Wise Way
Glacier,Hybrid,permanent,earth,cold,,,,,,,,,,,,,,36000,EC,,,,0.01,,0.1,0.2,0.01,,EC,,TRUE,FALSE,1200,360000,,,,,Below the Floe
Glare,Hybrid,permanent,light,cold,,,,,,,,,,,,,,34200,CI,,,,0.01,,0.1,0.2,0.01,,CI,,TRUE,FALSE,900,360000,,,,,Caves of Ramora
Glass,Hybrid,permanent,light,earth,,,,,,,,,,,,,,45000,EI,,,,0.01,,0.1,0.2,0.01,,EI,,TRUE,FALSE,1015,360000,,,,,Silica Valley
Glassia,Epic,unavailable,,,,,,Murano,,Rose,,,,,,,,122400,PFEAIAu,0.0285,,,0.05,0.3,0.015,0.15,0.05,0.3,PAIAu,,TRUE,FALSE,100,240000,,,,,Heart of Roses
Glasswing,Epic,unavailable,light,dark,,,,Daydream,,,,,,,,,,108000,AIDDr,0.0375,,,0.01,0.3,0.1,0.2,0.01,0.3,AIDDr,,TRUE,FALSE,125,240000,,,,,It's Real Glass
Glimmerwing,Galaxy,permanent,,,,,,,,,,,,,,,social,82800,EWLMGa,,,,0,0,0.01,0.2,0,0,Ga,,TRUE,FALSE,115,240000,,,,,Glimmering Gorge
Glitz,Epic,unavailable,,,,,,Yanghis,,Jadice,,,,,,,,86400,FECOr,0.041,,,0.05,0.3,0.01,0.15,0.05,0.3,Or,,TRUE,FALSE,110,240000,,,,,Sparkle Startle
Glowwing,Epic,permanent,chrysalis,,,,,Starwing,,,,,,,,,,111600,PFECCh,0.01,,,0.05,0.3,0.01,0.05,0.05,0.3,Ch,,TRUE,FALSE,450,240000,,,,,Everflowering Fields
Glyph,Epic,cloneable,,,,,,,,,,,,,,,,57600,EWAMh,0,,,0,0.3,0,0.15,0,0.3,Mh,Monolith 4,TRUE,FALSE,450,240000,,,,,Deep Slumber
Gold,Epic,permanent,fire,metal,,,,,,,,,,,,,,172800,FMTr,0.02,,,,,0.01,0.05,,,Tr,,TRUE,FALSE,200,240000,,,,,Carat Coulee
Gold Olympus,Epic,permanent,earth,lightning,air,,,,,,,,,,,,,126000,ELOl,0.015,,,,,0.01,0.05,,,Ol,,TRUE,FALSE,200,240000,,,,,Herculean Effort
Gourd,Rare,unavailable,,,,,,Pepper,,Root,,,,,,,,111116.2,PFED,0.04,,,0.01,,0.03,0.1,0.01,,PFED,,TRUE,FALSE,750,360000,,,,,Pumpkin Patch
Grace,Epic,unavailable,water,light,,,,Cuddlewing,,,,,,,,,,79200,EWLIAu,0.025,,,0.01,0.3,0.04,0.15,0.01,0.3,Au,,TRUE,FALSE,160,240000,,,,,Two Beautiful Heads
Gravity,Galaxy,permanent,,,,,,,,,,,,,,,social,72000,EWADGa,,,,0,0,0.1,0.2,0,0,Ga,,TRUE,FALSE,245,240000,,,,,Gravity Falls
Greenge,Epic,unavailable,,,,,,Burglehoo,,Yule,,,,,,,,72000,FECIOr,0.02,,,0.05,0.3,0.01,0.15,0.05,0.3,FECIOr,,TRUE,FALSE,140,240000,,,,,Grumpy Wumpy
Greymatter,Epic,unavailable,,,,,,Zombie,,Brood,,,,,,,,82800,PFELAMDAp,0.041,,,0.05,0.3,0.05,0.15,0.05,0.3,DAp,,TRUE,FALSE,140,240000,,15700,,,Powerful Mojo
Grimoire,Rare,unavailable,dark,light,air,cold,,,,,,,,,,,,64800,CAID,0.032,,,0.01,0.3,0.1,0.2,0.01,0.3,CAID,,TRUE,FALSE,220,360000,,8000,1,,Book Of Evil
Grove,Rare,unavailable,,,,,,Honuhonu,,Frond,,,,,,,,61200,PW,0.03,,,0.01,0.3,0.01,0.05,0.01,0.3,PW,,TRUE,FALSE,220,360000,,,,,Slow Show
Gryphus,Rare,unavailable,air,earth,light,,,,,,,,,,,,,64800,EAI,0.025,,,0.01,0.3,0.04,0.15,0.01,0.3,EAI,,TRUE,FALSE,325,360000,,,,,Time to Send a Letter
Gulletail,Epic,cloneable,,,,,,,,,,,,,,,,43200,PFECLMOr,0,,,0,0.3,0,0.3,0,0.3,FECOr,Coal,TRUE,FALSE,210,240000,,,,,Quite the Appetite
Hail,Hybrid,permanent,cold,lightning,,,,,,,,,,,,,,28800,CL,,,,0.01,,0.1,0.2,0.01,,CL,,TRUE,FALSE,500,360000,,,,,The Barragening
Hakahaka,Rare,unavailable,fire,light,earth,plant,,,,,,,,,,,,68400,PFEI,0.02,,,0.01,0.3,0.015,0.1,0.01,,PFEI,,TRUE,FALSE,680,360000,,,,,Resolute Ritual
Halo,Rare,permanent,air,light,,,,,,,,,,,,,,43200,AI,0.03,,,0.01,,0.02,0.15,0.01,,AI,,TRUE,FALSE,675,360000,,,,,Paradise Palisade
Hanno,Rare,unavailable,plant,water,,,,,,,,,,,,,,72000,PW,0.03,,,0.05,0.3,0.05,0.1,0.05,0.3,PW,,TRUE,FALSE,230,360000,,,,,The Life of the Party
Harmony,Epic,unavailable,ornamental,,,,,Iron Blossom,,,,,,,,,,108000,PMOr,0.03,,,0.01,0.3,0.015,0.1,0.01,0.3,PMOr,,TRUE,FALSE,250,240000,,,,,Down With Dissonance
Harvest,Rare,unavailable,plant,earth,water,,,,,,,,,,,,,64800,PEW,0.05,,,0.01,,0.02,0.1,0.01,,PEW,,TRUE,FALSE,750,360000,,,,,Fruitful Feat
Harvest Moon,Epic,unavailable,,,,,,Harvest,,Moon,,,,,,,,64800,PECWLMo,0.05,,,0.05,,0.01,0.05,0.05,,PEWMo,,TRUE,FALSE,495,240000,,,,,Marigold Moon
Heat,Hybrid,permanent,light,fire,,,,,,,,,,,,,,43200,FI,,,,0.01,,0.1,0.2,0.01,,FI,,TRUE,FALSE,840,360000,,,,,Thermodynamic Panic
Heavy Metal,Epic,unavailable,,,,,,Thrasher,,Wrath,,,,,,,,93600,PLMMe,0.038,,,0.05,0.3,0.015,0.15,0.05,0.3,Me,,TRUE,FALSE,180,240000,,9600,2,,Riff Master
Hedera,Epic,cloneable,,,,,,,,,,,,,,,,86400,PEWMh,0,,,0,0.3,0,0.15,0,0.3,Mh,Monolith 3,TRUE,FALSE,270,240000,,,,,Creeping Charlie
Herald,Epic,unavailable,lightning,light,cold,,,,,,,,,,,,,122400,CLIOl,0.03,,,0.05,0.3,0.02,0.05,0.05,0.3,Ol,,TRUE,FALSE,275,240000,,,,,Extre Extre Endeavor
Hidden Bolt,Rare,unavailable,dark,lightning,,,,,,,,,,,,,,79200,LD,0.04,,,0.01,0.3,0.015,0.1,0.01,0.3,LD,,TRUE,FALSE,500,360000,,,,,Spark in the Dark
Holly,Rare,unavailable,,,,,,Mistletoe,,Evergreen,,,,,,,,86400,PEC,0.12,0.03,,0.01,,0.025,0.1,0.01,,PEC,,TRUE,FALSE,405,360000,,,,,Wreaths Wrath
Honeyglow,Epic,unavailable,,,,,,Nectar,,Ambrosia,,,,,,,,111600,PFEIAu,0.03,0.02,,0.01,0.3,0.01,0.05,0.01,0.3,Au,,TRUE,FALSE,195,240000,,,,,Thousand Acre Woods
Honuhonu,Rare,unavailable,,,,,,Sunscorch,,Tidepool,,,,,,,,64800,PW,0.02,,,0.01,0.3,0.015,0.1,0.01,,PW,,TRUE,FALSE,615,360000,,,,,Seaside Shellslide
Hooded,Rare,unavailable,lightning,plant,fire,metal,,,,,,,,,,,,43200,PFLM,0.015,,,0.01,,0.02,0.1,0.01,,PFLM,,TRUE,FALSE,250,360000,,,,,Sssensational Sojourn
Howl,Hybrid,permanent,dark,air,,,,,,,,,,,,,,45000,AD,,,,0.01,,0.1,0.2,0.01,,AD,,TRUE,FALSE,1068,360000,,,,,Allengin Pass
Huddle,Rare,unavailable,,,,,,Harvest,,Karroot,,,,,,,,79200,PEI,0.0375,,,0.01,0.3,0.1,0.2,0.01,0.3,PEI,,TRUE,FALSE,155,360000,,,,,Golden-brown Feathers
Humuhumu,Rare,unavailable,,,,,,Party,,Lagoon,,,,,,,,57600,WI,0.02,,,0.01,0.3,0.015,0.1,0.01,,WI,,TRUE,FALSE,630,360000,,,,,Reef Research
Hydnellum,Epic,unavailable,apocalypse,,,,,Wendigo,,,,,,,,,,86400,FECAp,0.04,,,0.05,0.3,0.01,0.15,0.05,0.3,Ap,,TRUE,FALSE,120,240000,,14640,2,,A Fungus
Hydra,Epic,permanent,,,,,,Quake,,Current,,,,,,,,122400,EWLOl,0.03,,,,,0.02,0.05,,,Ol,,TRUE,FALSE,275,240000,,,,,Leviathan Caverns
Hyperion,Epic,unavailable,,,,,,Fury,,Narcis,,,,,,,,252000,PECLAMAp,0.02,,,0.01,0.3,0.015,0.1,0.01,0.3,Ap,,TRUE,FALSE,145,240000,,9500,2,,Powerful Presence
Hypnotic,Hybrid,permanent,light,air,,,,,,,,,,,,,,77400,AI,,,,0.01,,0.1,0.2,0.01,,AI,,TRUE,FALSE,695,360000,,,,,Mesmeric Mausoleum
Ice,Hybrid,permanent,cold,water,,,,,,,,,,,,,,28800,CW,,,,0.01,,0.1,0.2,0.01,,CW,,TRUE,FALSE,1050,360000,,,,,Flash Freeze
Iceberg,Hybrid,permanent,cold,water,,,,,,,,,,,,,,28800,CW,,,,0.01,,0.1,0.2,0.01,,CW,,TRUE,FALSE,750,360000,,,,,Broken Ice Shelf
Icebound,Rare,unavailable,cold,water,air,,,,,,,,,,,,,68400,CWA,0.05,,,0.01,0.3,0.015,0.1,0.01,0.3,CWA,,TRUE,FALSE,490,360000,,,,,Icy Encounters
Ichigo,Rare,unavailable,plant,earth,,,,Berry,,,,,,,,,,61200,PEWI,0.031,,,0.01,0.3,0.1,0.2,0.01,0.3,PEWI,,TRUE,FALSE,190,360000,,,,,Strawberry Nice
Icy Torrent,Rare,unavailable,cold,water,,,,,,,,,,,,,,79200,CW,0.04,,,0.01,0.3,0.015,0.1,0.01,0.3,CW,,TRUE,FALSE,500,360000,,,,,Glacial Dig
Iden,Epic,unavailable,,,,,,Charlatan,,Nightbloom,,,,,,,,86400,PADDr,0.02,,,0.0075,0.3,0.015,0.05,0.0075,0.3,PADDr,,TRUE,FALSE,100,240000,,7960,2,,Reaching For The Scarlet Moon
Igluit,Epic,unavailable,hidden,,,,,Icebound,,,,,,,,,,54000,CWAHi,0.039,,,0.05,0.3,0.01,0.15,0.05,0.3,CWAHi,,TRUE,FALSE,225,240000,,,,,Free Real Estate
Ignaqtus,Rare,permanent,fire,water,,,,,,,,,,,,,,64800,FW,0.03,,,0.01,0.3,0.1,0.2,0.01,0.3,FW,,TRUE,FALSE,415,360000,,,,,Firewater
Ignis,Epic,unavailable,hidden,fire,air,,,,,,,,,,,,,72000,FAHi,0.03,,,0.05,0.3,0.01,0.1,0.05,0.3,FAHi,,TRUE,FALSE,200,240000,,,,,Ignite the Sky
Ignite,Rare,permanent,fire,lightning,,,,,,,,,,,,,,57600,FL,0.025,,,0.01,0.3,0.04,0.15,0.01,0.3,FL,,TRUE,FALSE,510,360000,,,,,The Uncertainty Antithesis
Ikatako,Rare,unavailable,,,,,,Ooze,,Tidal,,,,,,,,57600,EWLD,0.045,,,0.01,0.3,0.1,0.2,0.01,0.3,EWLD,,TRUE,FALSE,350,360000,,,,,Tentacle Tickle
Inferno,Rare,permanent,air,fire,,,,,,,,,,,,,,28800,FA,0.05,,,0.01,,0.04,0.1,0.01,,FA,,TRUE,FALSE,900,360000,,,,,Dante's Dungeon
Infernus,Rare,unavailable,fire,water,cold,,,,,,,,,,,,,57600,FCW,0.02,,,0.01,0.3,0.1,0.2,0.01,0.3,FCW,,TRUE,FALSE,250,360000,,7680,1,,Soothing Waters
Infinitum,Rare,unavailable,fire,light,air,lightning,,,,,,,,,,,,64800,FLAI,0.038,,,0.01,0.3,0.03,0.1,0.01,0.3,FLAI,,TRUE,FALSE,180,360000,,,,,Everburning
Infrared,Rare,permanent,light,fire,,,,,,,,,,,,,,36000,FI,0.05,,,0.01,0.3,0.04,0.15,0.01,0.3,FI,,TRUE,FALSE,334,360000,,,,,Concentrated Fire Magic
Invento,Rare,unavailable,air,light,,,,Davinese,,,,,,,,,,53450,WLAI,0.045,,,0.01,0.3,0.1,0.2,0.01,0.3,WLAI,,TRUE,FALSE,220,360000,,,,,Deep Dive
Ire,Epic,unavailable,plant,earth,fire,,,,,,,,,,,,,43200,PFEAu,0.06,,,,,0.01,0.05,,,Au,,TRUE,FALSE,500,240000,,,,,Isle of Indignation
Iridescent,Rare,permanent,light,air,,,,,,,,,,,,,,46800,AI,0.05,,,0.01,,0.04,0.15,0.01,,AI,,TRUE,FALSE,775,360000,,,,,Chroma Chasm
Iron,Hybrid,permanent,earth,metal,,,,,,,,,,,,,,14400,EM,,,,0.01,,0.1,0.2,0.01,,EM,,TRUE,FALSE,1800,360000,,,,,Iron Will
Iron Blossom,Rare,unavailable,plant,metal,,,,,,,,,,,,,,79200,PM,0.04,,,0.01,0.3,0.015,0.1,0.01,0.3,PM,,TRUE,FALSE,500,360000,,,,,Riddle Rabble
Ironwood,Rare,permanent,plant,metal,,,,,,,,,,,,,,43200,PM,0.05,,,0.01,,0.04,0.15,0.01,,PM,,TRUE,FALSE,700,360000,,,,,Tessa's Trek
Ironwrought,Rare,unavailable,metal,earth,water,air,,,,,,,,,,,,43200,EWAM,0.03,,,0.01,,0.02,0.1,0.01,,EWAM,,TRUE,FALSE,325,360000,,,,,Pumpermelon Pull
Ivy,Rare,permanent,lightning,plant,,,,,,,,,,,,,,50400,PL,0.05,,,0.01,,0.04,0.15,0.01,,PL,,TRUE,FALSE,400,360000,,,,,Hall of Hedera
Jackpot,Epic,unavailable,,,,,,Loot,,Gold,,,,,,,,97200,PFEMTr,0.0377,,,0.05,0.3,0.015,0.15,0.05,0.3,Tr,,TRUE,FALSE,177,240000,,,,,Get Lucky
Jade,Gemstone,unavailable,,,,,,Plasma,,Salamander,,,,,,,,109575,FWLGe,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Ge,,TRUE,FALSE,,240000,241920000,,,,Catacombs of Ulmek
Jadice,Epic,cloneable,,,,,,,,,,,,,,,,43200,FECWIOr,0,,,0,0.3,0,0.3,0,0.3,FECOr,Coal,TRUE,FALSE,140,240000,,,,,Fiercely Frosted
Jamjam,Rare,unavailable,,,,,,Regift,,Jingle,,,,,,,,54000,PFEC,0.03,,,0.01,0.3,0.1,0.2,0.01,0.3,PFEC,,TRUE,FALSE,220,360000,,,,,Raining Presents
Jasper,Gemstone,unavailable,,,,,,Malachite,,Hypnotic,,,,,,,,126000,PAMICr,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Cr,,TRUE,FALSE,,240000,120960000,,,,Speckled Spelunking
Jet,Gemstone,unavailable,,,,,,Ash,,Frostfire,,,,,,,,108000,PFCLGe,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Ge,,TRUE,FALSE,,240000,241920000,,,,Lignite Night
Jetstream,Rare,permanent,cold,air,,,,,,,,,,,,,,36000,CA,0.05,,,0.01,0.3,0.04,0.15,0.01,0.3,CA,,TRUE,FALSE,920,360000,,,,,Conspiracy Bluff
Jingle,Rare,unavailable,fire,,,,,Mistletoe,,,,,,,,,,54000,PFEC,0.025,,,0.01,,0.015,0.1,0.01,,PFEC,,TRUE,FALSE,335,360000,,,,,Ringing Wrangle
Jumpiplop,Rare,unavailable,,,,,,Riptide,,Psyche,,,,,,,,86400,PWAD,0.035,,,0.01,0.3,0.1,0.2,0.01,0.3,PWAD,,TRUE,FALSE,240,360000,,,,,Splash Zone
Kage,Epic,unavailable,,,,,,Eldritch,,Wrath,,,,,,,,82800,PFECLAp,0.04,,,0.05,0.3,0.01,0.15,0.05,0.3,Ap,,TRUE,FALSE,140,240000,,13680,2,,Shadowy Visitor
Kaiju,Epic,unavailable,fire,water,dark,,,,,,,,,,,,,108000,FWDSf,0.015,,,0.01,,0.015,0.1,0.01,,Sf,,TRUE,FALSE,225,240000,,,,,Cancelling the Apocalypse
Kairos,Legendary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,
Kampos,Rare,permanent,rift,,,,,,,,,,water,,,,rift,0,WAR,0.03,0.01,,0,0,0,0,0.01,0.15,WAR,,TRUE,FALSE,475,360000,,,,W,Ye Olde Rescue
Kann,Epic,unavailable,,,,,,Sun,,Hanno,,,,,,,,129600,PCWLSu,0.045,,,0.05,0.3,0.01,0.15,0.05,0.3,PWSu,,TRUE,FALSE,170,240000,,,,,Slither Hither
Karroot,Epic,cloneable,,,,,,,,,,,,,,,,52500,PEIDHiSe,0,,,0,0.3,0,0.3,0,0.3,HiSe,Seed,TRUE,FALSE,525,240000,,,,,I Am Root!
Ketu,Rare,unavailable,cold,dark,air,,,,,,,,,,,,,72000,CAD,0.03,,,0.01,0.3,0.04,0.15,0.01,0.3,CAD,,TRUE,FALSE,390,360000,,,,,Hares Everywhere
Keyper,Rare,unavailable,,,,,,Razortail,,Etch,,,,,,,,64800,PMD,0.035,,,0.05,0.3,0.01,0.15,0.05,0.3,PMD,,TRUE,FALSE,230,360000,,,,,Master Key
Khamsin,Rare,permanent,air,earth,,,,,,,,,,,,,,43200,EA,0.05,,,0.01,0.3,0.1,0.2,0.01,0.3,EA,,TRUE,FALSE,220,360000,,,,,Dust Storm
Kite,Rare,unavailable,metal,air,lightning,,,,,,,,,,,,,79200,LAM,0.04,,,0.01,,0.03,0.1,0.01,,LAM,,TRUE,FALSE,500,360000,,,,,The Skies of Faridat
Knarr,Epic,unavailable,earth,air,cold,,,,,,,,,,,,,100800,ECASf,0.015,,,0.01,0.2,0.015,0.1,0.01,0.01,Sf,,TRUE,FALSE,200,240000,,,,,Starboard Bound
Kotun,Rare,unavailable,,,,,,Lokilure,,Ketu,,,,,,,,115200,ECAD,0.034,,,0.01,0.3,0.1,0.2,0.01,0.3,ECAD,,TRUE,FALSE,100,360000,,,,,Tales of Icebrand
Krampus,Rare,unavailable,cold,,,,,Coal,,,,,,,,,,90000,FEC,0.02,,,0.01,,0.015,0.1,0.01,,FEC,,TRUE,FALSE,430,360000,,,,,Iceberry Gobbling
Kringle,Rare,unavailable,earth,,,,,Trinket,,,,,,,,,,90000,PFEC,0.02,,,0.01,,0.015,0.1,0.01,,PFEC,,TRUE,FALSE,430,360000,,,,,Checking it Twice
Kroki,Rare,unavailable,plant,earth,,,,Daylily,,,,,,,,,,100800,PFEA,0.045,,,0.01,0.3,0.1,0.2,0.01,0.3,PFEA,,TRUE,FALSE,140,360000,,,,,Bug-eyed Bloom
Kwall,Rare,unavailable,water,light,plant,,,,,,,,,,,,,68400,PWID,0.03,,,0.0075,0.3,0.015,0.05,0.0075,0.3,PWID,,TRUE,FALSE,200,360000,,5600,1,,Let's See This Through
Labradorite,Gemstone,unavailable,,,,,,Chrome,,Blue Fire,,,,,,,,129600,FCAMCr,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Cr,,TRUE,FALSE,,240000,120960000,,,,Retrieve & Retreat
Lace,Epic,unavailable,plant,,,,,Coal,,,,,,,,,,111600,PFEOr,0.03,,,,,0.01,0.05,,,Or,,TRUE,FALSE,120,240000,,,,,Doily Dash
Lacewing,Epic,permanent,,,,,,Duskwing,,Marbletail,,,,,,,,148800,PFECCh,0.03,,,,0.3,0.01,0.05,,0.3,Ch,,TRUE,FALSE,600,240000,,,,,Filigree Falls
Lacuna,Rare,permanent,rift,,,,,Mirage,water,Shadow,air,,,,,,rift,0,IDR,0.03,,,0,0,0,0,0.01,0.15,IDR,,TRUE,FALSE,385,360000,,,,W,Lake of the Abyss
Lageto,Epic,unavailable,cold,air,,,,Midday,,,,,,,,,,86400,CLASu,0.025,,,0.01,0.3,0.04,0.15,0.01,0.3,CASu,,TRUE,FALSE,175,240000,,,,,A Good Scoop
Lagoon,Rare,permanent,water,light,,,,,,,,,,,,,,43200,WI,0.05,,,0.01,,0.04,0.1,0.01,,WI,,TRUE,FALSE,750,360000,,,,,Highlands Havoc
Lambovian,Galaxy,permanent,,,,,,,,,,,,,,,social,72000,EWADGa,,,,0,0,0.1,0.2,0,0,Ga,,TRUE,FALSE,245,240000,,,,,Starborn
Lapis,Gemstone,unavailable,,,,,,Thunder,,Sandstorm,,,,,,,,115200,ELAGe,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Ge,,TRUE,FALSE,,240000,241920000,,,,Ultramarine Scene
Lava,Hybrid,permanent,earth,fire,,,,,,,,,,,,,,36000,FE,,,,0.01,,0.1,0.2,0.01,,FE,,TRUE,FALSE,1200,360000,,,,,Molten Motive
Lazuli,Epic,unavailable,,,,,,Scarab,,Bronze,,,,,,,,86400,PFEWMTr,0.04,,,0.05,0.3,0.015,0.15,0.05,0.3,WTr,,TRUE,FALSE,114,240000,,,,,Dolphins Of The Sky
Leaf,Epic,unavailable,plant,water,light,,,,,,,,,,,,,133200,PWISe,0.03,,,,,0.02,0.05,,,Se,,TRUE,FALSE,150,240000,,,,,Photosynthetic Folly
Leap Year,Epic,unavailable,,,,,,,,,,,,4,,,,52200,PFECWLAMIDRb,0.04,0.02,,,,0.01,0.05,,,Rb,,TRUE,FALSE,96,240000,,,,,Intercalary Anarchy
Leathery,Rare,unavailable,lightning,fire,earth,cold,,,,,,,,,,,,129600,FECL,0.03,,,0.01,,0.02,0.05,0.01,,FECL,,TRUE,FALSE,340,360000,,,,,Hide & Seek
Leonian,Epic,unavailable,fire,,,,,Bicentennial,,,,,,,,,,97200,FLA,0.04,,,0.05,0.3,0.1,0.15,0.05,0.3,FZo,,TRUE,FALSE,136,240000,,,,,Mighty Roar
Liberty,Rare,unavailable,air,,,,,Copper,,,,,,,,,,107340,LAM,0.05,,,0.01,,0.03,0.1,0.01,,LAM,,TRUE,FALSE,600,360000,,,,,Beacons of Freedom
