Air,Primary,A,Fire+Water,2:00:00,100% (33%),0% (?%),0% (?%),0% (?%),
Ghostly Obsidian,Rare,FE,Ghostly Fire+Ghostly Earth,9:00:00,3%,10% (15%),10% (30%),10% (30%),The Haunting of Wrothmoore
Ghostly Cold,Rare,C,,12:00:00,0%,0% (?%),0% (?%),0% (?%),
Ghostly Glacier,Rare,EC,Ghostly Earth+Ghostly Cold,11:00:00,3%,10% (20%),10% (30%),10% (30%),The Floe Beyond
Ghostly Mountain,Rare,EC,Ghostly Cold+Ghostly Earth,15:00:00,3%,10% (20%),10% (30%),10% (30%),Summit Scare
Ghostly Bone,Rare,FE,Ghostly Earth+Ghostly Fire,10:00:00,3%,10% (20%),10% (30%),10% (30%),Macabre Marrow
Ghostly Decay,Rare,FEC,Ghostly Obsidian+Ghostly Cold,24:00:00,3%,10% (20%),10% (30%),10% (30%),Land of the Unsweetened
Ghostly Ghost,Rare,EC,Ghostly Cold+Ghostly Earth,15:30:00,3%,10% (20%),10% (30%),10% (30%),Apparent Apparition
Ghostly Nosferatu,Rare,FEC,Ghostly Mountain+Ghostly Fire,13:00:00,3%,10% (20%),10% (30%),10% (30%),Whitbee's Visitation
Ghostly Oni,Rare,FEC,Ghostly Lava+Ghostly Cold,12:00:00,3%,10% (20%),10% (30%),10% (30%),Home Sweet Horror
Ghostly Spectre,Rare,EC,Ghostly Cold+Ghostly Earth,12:00:00,3%,10% (20%),10% (30%),10% (30%),A Telltale Return
Ghostly Spirit,Rare,EC,Ghostly Ghost+Ghostly Spectre,15:00:00,3%,10% (20%),10% (30%),10% (30%),Visitation Manifestation
Ghostly Evergreen,Rare,PC,Ghostly Plant+Ghostly Cold,12:00:00,3%,10% (20%),10% (30%),10% (30%),Poltergeist Pine
Ghostly Flower,Rare,PF,Ghostly Fire+Ghostly Plant,1:00:00,3%,10% (20%),10% (30%),10% (30%),Audrey Two
Ghostly Lichen,Rare,PC,Ghostly Plant+Ghostly Cold,8:00:00,3%,10% (20%),10% (30%),10% (30%),Likely a Lich
Ghostly Moss,Rare,PE,Ghostly Plant+Ghostly Earth,12:00:00,3%,10% (20%),10% (30%),10% (30%),A Swamp Thing
Ghostly Plant,Rare,P,,0:00:05,0%,0% (?%),0% (?%),0% (?%),
Ghostly Poison,Rare,PF,Ghostly Plant+Ghostly Fire,0:30:00,3%,10% (20%),10% (30%),10% (30%),Rocky Horror Tincture Show
Ghostly Tree,Rare,PE,Ghostly Plant+Ghostly Earth,14:00:00,3%,10% (20%),10% (30%),10% (30%),Spectral Spruce
Ghostly Coal,Rare,FE,Ghostly Fire+Ghostly Earth,12:00:00,3%,10% (20%),10% (30%),10% (30%),Canary's Revenge
Ghostly Gift,Rare,PFC,Ghostly Evergreen+Ghostly Fire,12:25:00,3%,10% (20%),10% (30%),10% (30%),Forever Wrapped
Ghostly Krampus,Rare,FEC,Ghostly Coal+Ghostly Cold,25:00:00,3%,10% (20%),10% (30%),10% (30%),Worse Than Coal...
Ghostly Kringle,Rare,PFEC,Ghostly Trinket+Ghostly Earth,25:00:00,3%,10% (20%),10% (30%),10% (30%),Ebenezer's Enemy
Ghostly Trinket,Rare,PFC,Ghostly Poison+Ghostly Cold,12:00:00,3%,10% (20%),10% (30%),10% (30%),Pandora's Box
Cumulus,Epic,Hi,Monolith 2+Rain,18:00:00,3%,1% (5%),5% (30%),5% (30%),Head in the Clouds
Stoneshell,Epic,Hi,Monolith 3+Quake,24:00:00,3%,1% (5%),5% (30%),5% (30%),Standing Egg Rock
Tansy,Epic,Hi,Monolith 4+Cactus,20:00:00,3%,1% (5%),5% (30%),5% (30%),Burcadian Hooray
Tulip,Epic,Hi,Monolith 6+Flower,22:00:00,1%,1% (5%),5% (30%),5% (30%),Moonlit Garden
Pond,Epic,Hi,Monolith 1+Lichen,12:00:00,2%,1% (5%),5% (30%),5% (30%),Philosopher's Dragon
Plateau,Epic,Hi,Monolith 5+Moss,14:00:00,2%,1% (5%),5% (30%),5% (30%),Slow-Moving Summit
Cumberpatch,Epic,Hi,Cactus+monolith,28:00:00,2%,0.5% (10%),5% (?%),2% (?%),Mammu's Bargain
Bloatato,Epic,HiSe,,16:06:40,0%,0% (30%),0% (30%),0% (30%),Starchy Goodness
Curlyleaf,Epic,HiSe,,17:21:40,0%,0% (30%),0% (30%),0% (30%),Go Green Every Day
Karroot,Epic,HiSe,,14:35:00,0%,0% (30%),0% (30%),0% (30%),I Am Root!
Vidalia,Epic,HiSe,,20:08:20,0%,0% (30%),0% (30%),0% (30%),Tears of Joy
Aubergine,Epic,HiSe,,20:50:00,0%,0% (30%),0% (30%),0% (30%),Purple Royale
Minchi,Epic,Hi,,30:00:00,0%,0% (15%),0% (30%),0% (30%),Tough Egg to Crack
Apex,Epic,EIHi,hidden+earth+light,22:00:00,2%,1% (10%),5% (30%),5% (30%),At the Pinnacle
Atramento,Epic,LDHi,hidden+dark+lightning,23:00:00,2%,1% (10%),5% (30%),5% (30%),Ink-redible Experience
Coldcoil,Epic,CWHi,hidden+cold+water,19:00:00,3.5%,1% (10%),5% (30%),5% (30%),Chilly Shellebration
Frons,Epic,PMHi,hidden+plant+metal,21:00:00,2%,1% (10%),5% (30%),5% (30%),Falling for You
Ignis,Epic,FAHi,hidden+fire+air,20:00:00,3%,1% (10%),5% (30%),5% (30%),Ignite the Sky
Scout,Epic,Hi,Valor+hidden,24:00:00,2%,1% (10%),5% (30%),5% (30%),Camping Trip
Umbra,Epic,Hi,,30:00:00,0%,0% (20%),0% (30%),0% (30%),Enveloping Darkness
Redbeard,Epic,Hi,Celtic+hidden,18:00:00,4%,10% (20%),1% (30%),1% (30%),Interesting Interest
Morphimagus,Epic,HiMo,Stella+hidden,23:00:00,4%,1% (15%),5% (30%),5% (30%),Back in the Hat
Diggy,Epic,Hi,Bloatato+Gourd,30:00:00,2.25%,1% (15%),5% (30%),5% (30%),Diggy Diggy Hole
Igluit,Epic,CWAHi,Icebound+hidden,15:00:00,3.9%,1% (15%),5% (30%),5% (30%),Free Real Estate
Crackle,Epic,Hi,Stoneshell+Minchi,23:00:00,3.1%,1.5% (15%),5% (30%),5% (30%),One Shell of a Dragon
Ember,Hybrid,FI,fire+light,8:00:00,*%,10% (20%),1% (?%),1% (?%),Conflagration Course
Glass,Hybrid,EI,light+earth,12:30:00,*%,10% (20%),1% (?%),1% (?%),Silica Valley
Heat,Hybrid,FI,light+fire,12:00:00,*%,10% (20%),1% (?%),1% (?%),Thermodynamic Panic
Light,Primary,I,,10:00:00,$%,0% (?%),0% (?%),0% (?%),
Light Rift,Primary Rift,IR,,48:00:00,$%,0% (0%),0% (0%),1% (15%),A Gift in the Rift
Luminous,Hybrid,PI,light+plant,13:00:00,*%,10% (20%),1% (?%),1% (?%),Glowing Gulch
Meadow,Hybrid,PI,plant+light,9:00:00,*%,10% (20%),1% (?%),1% (?%),Eliyse's Clearing
Sand,Hybrid,EI,earth+light,6:30:00,*%,10% (20%),1% (?%),1% (?%),Sandara's Sojourn
Flash,Hybrid,LI,lightning+light,6:00:00,*%,10% (20%),1% (?%),1% (?%),Scarlet Sprint
Gamma,Hybrid,LI,light+lightning,19:00:00,*%,10% (20%),1% (?%),1% (?%),Ray of Rage
Glare,Hybrid,CI,light+cold,9:30:00,*%,10% (20%),1% (?%),1% (?%),Caves of Ramora
Phantom,Hybrid,CI,cold+light,8:30:00,*%,10% (20%),1% (?%),1% (?%),Fear & Figments
Hypnotic,Hybrid,AI,light+air,21:30:00,*%,10% (20%),1% (?%),1% (?%),Mesmeric Mausoleum
Lotus,Hybrid,WI,water+light,7:00:00,*%,10% (20%),1% (?%),1% (?%),Transcendent Traversal
Shimmer,Hybrid,WI,light+water,11:00:00,*%,10% (15%),1% (?%),1% (?%),Caught in the Crimson Sea
Wind,Hybrid,AI,air+light,5:00:00,*%,10% (20%),1% (?%),1% (?%),Zesty Zephyr
Palladium,Hybrid,MI,light+metal,5:30:00,*%,10% (20%),1% (?%),1% (?%),Noble Peril
Radiant,Hybrid,MI,light+metal,10:30:00,*%,10% (20%),1% (?%),1% (?%),Heat Wave Havoc
Mirage,Rare,ID,dark+light,17:00:00,5%,4% (15%),1% (?%),1% (?%),Phantasm Chasm
Shadow,Rare,ID,light+dark,18:00:00,5%,4% (15%),1% (?%),1% (?%),The Wall of Shades
Nectar,Rare,WI,light+water,5:00:00,5%,4% (15%),1% (?%),1% (?%),Tower of Tantalia
Mirror,Rare,MI,light+metal,14:00:00,5%,4% (15%),1% (?%),1% (?%),Rorrim Rock
Halo,Rare,AI,air+light,12:00:00,3%,2% (15%),1% (?%),1% (?%),Paradise Palisade
Plains,Rare,EI,earth+light,12:00:00,5%,4% (10%),1% (?%),1% (?%),Gargantuan Grasslands
Lagoon,Rare,WI,water+light,12:00:00,5%,4% (10%),1% (?%),1% (?%),Highlands Havoc
Candescent,Rare,CI,cold+light,9:00:00,5%,4% (15%),1% (?%),1% (?%),Glowing Descent
Fluorescent,Rare,CI,light+cold,11:00:00,5%,4% (15%),1% (?%),1% (?%),Debunking Spelunking
Iridescent,Rare,AI,light+air,13:00:00,5%,4% (15%),1% (?%),1% (?%),Chroma Chasm
Shining,Rare,LI,light+lightning,19:00:00,5%,4% (15%),1% (30%),1% (30%),Setse Sighting
Alpenglow,Rare,EIR,earth+light+rift+[lightning trait],0:00:00,2.5%,0% (0%),0% (0%),1% (15%),Lighting the Rift
Infrared,Rare,FI,light+fire,10:00:00,5%,4% (15%),1% (30%),1% (30%),Concentrated Fire Magic
Arid,Rare,EI,light+earth,12:30:00,5%,4% (15%),1% (?%),?% (?%),Desert Duds
Antumbra,Rare,IDR,light+dark+rift+[rift align:earth],0:00:00,5%,0% (0%),0% (0%),1% (15%),Pincer Power
Ghast,Rare,IDR,light+dark+rift+[fire trait],0:00:00,5%,0% (0%),0% (0%),1% (15%),Phantasm Adrift
Lacuna,Rare,IDR,Mirage+Shadow+rift+[mirage water trait]+[shadow air trait],0:00:00,3%,0% (0%),0% (0%),1% (15%),Lake of the Abyss
Sandscale,Rare,EIR,earth+light+rift+[rift align:light],0:00:00,4%,0% (0%),0% (0%),1% (20%),Dune Diving
Silverline,Rare,ID,light+dark,18:00:00,2%,4% (15%),1% (30%),1% (30%),Holistic Hope
Wick,Rare,FI,fire+light,20:00:00,5%,4% (15%),1% (30%),1% (30%),Wicked Sick
Poshwing,Rare,PI,plant+light,10:00:00,2%,4% (15%),1% (30%),1% (30%),Posh and Glamorous
Bellflower,Rare,PI,light+plant,16:00:00,3%,4% (15%),1% (30%),1% (30%),Flower Power
Crystal,Hybrid,EL,lightning+earth,24:00:00,*%,10% (20%),1% (?%),1% (?%),Fractal Fever
Firefly,Hybrid,FL,lightning+fire,3:00:00,*%,10% (20%),1% (?%),1% (?%),Cold Light Chase
Lightning,Primary,L,,0:30:00,$%,0% (?%),0% (?%),0% (?%),
Quake,Hybrid,EL,earth+lightning,6:00:00,*%,10% (20%),1% (?%),1% (?%),Seismic Trick
Sonic,Hybrid,LA,lightning+air,8:00:00,*%,10% (20%),1% (?%),1% (?%),Green Hill Havoc
Storm,Hybrid,CL,cold+lightning,5:00:00,*%,10% (20%),1% (?%),1% (?%),Squall Shoal
Scorch,Hybrid,FL,fire+lightning,3:00:00,*%,10% (20%),1% (?%),1% (?%),Scalding Stretch
Cactus,Hybrid,PL,plant+lightning,0:30:00,*%,10% (20%),1% (?%),1% (?%),Glochid Grounds
Magnetic,Hybrid,LM,lightning+metal,4:00:00,*%,10% (20%),1% (?%),1% (?%),Charisma Chasm
Plasma,Rare,WL,lightning+water,16:00:00,5%,4% (10%),1% (?%),1% (?%),Ionized Guise
Current,Rare,WL,water+lightning,16:00:00,5%,4% (15%),1% (?%),1% (?%),Sparkflow Connection
Copper,Hybrid,LM,lightning+metal,20:00:00,*%,10% (20%),1% (?%),1% (?%),Conductive Conundrum
Ash,Hybrid,PL,plant+lightning,6:00:00,*%,10% (20%),1% (?%),1% (?%),Phoenix Edict
Hail,Hybrid,CL,cold+lightning,8:00:00,*%,10% (20%),1% (?%),1% (?%),The Barragening
Thunder,Hybrid,LA,lightning+air,8:30:00,*%,10% (20%),1% (?%),1% (?%),Plunder Strike
Flash,Hybrid,LI,lightning+light,6:00:00,*%,10% (20%),1% (?%),1% (?%),Scarlet Sprint
Gamma,Hybrid,LI,light+lightning,19:00:00,*%,10% (20%),1% (?%),1% (?%),Ray of Rage
Spark,Hybrid,LD,lightning+dark,9:30:00,*%,10% (20%),1% (?%),1% (?%),Shock Rock
Wraith,Hybrid,LD,dark+lightning,14:00:00,*%,10% (20%),1% (?%),1% (?%),Gaznul Gulch
Wisp,Rare,LD,lightning+dark,2:00:00,5%,4% (10%),1% (10%),1% (10%),Brume Bluff
Lodestone,Rare,LM,metal+lightning,25:30:00,5%,3% (15%),1% (?%),1% (?%),Magnet Junket
Darkling,Rare,LD,dark+lightning,14:00:00,3%,2% (10%),1% (?%),1% (?%),The Bolts of Faridat
Tempest,Rare,CL,lightning+cold,8:00:00,5%,4% (10%),1% (?%),1% (?%),Wiggleswand Way
Ivy,Rare,PL,lightning+plant,14:00:00,5%,4% (15%),1% (?%),1% (?%),Hall of Hedera
Thistle,Rare,PL,plant+lightning,3:00:00,5%,?% (10%),?% (30%),?% (30%),Whistling Woods
Cyclone,Rare,LA,lightning+air,18:00:00,5%,4% (15%),1% (30%),1% (30%),Witchitoto Plains
Shining,Rare,LI,light+lightning,19:00:00,5%,4% (15%),1% (30%),1% (30%),Setse Sighting
Surge,Rare,WL,lightning+water,16:00:00,5%,4% (15%),1% (30%),1% (30%),Glow 'n' Go
Voltaic,Rare,LDR,dark+lightning+rift+[dark trait],0:00:00,2.5%,0% (0%),0% (0%),1% (15%),Scaredy Cave
Lightning Rift,Primary Rift,LR,,48:00:00,$%,0% (0%),0% (0%),1% (15%),Bounceback Bluff
Zaffer,Rare,CLR,Blue Fire+Plasma+rift+[blue fire air trait]+[plasma metal trait],0:00:00,4%,0% (0%),0% (0%),1% (15%),Blues Chase
Thunderbird,Rare,ELR,lightning+earth+rift+[fire trait],0:00:00,3%,0% (0%),0% (0%),1% (15%),Bolt Buffet
Abraxas,Rare,LDR,lightning+dark+rift+[rift align:lightning],23:00:00,4%,0% (0%),0% (0%),1% (20%),Power Overwhelming
Brilliant,Rare,FL,lightning+fire,15:00:00,3%,4% (15%),1% (30%),1% (30%),Intuitive Innovation
Ignite,Rare,FL,fire+lightning,16:00:00,2.5%,4% (15%),1% (30%),1% (30%),The Uncertainty Antithesis
Fulgurite,Rare,EL,earth+lightning,16:00:00,2.25%,4% (15%),1% (30%),1% (30%),Charged Assumptions
Thrasher,Rare,LM,lightning+metal,19:00:00,2.35%,4% (15%),1% (30%),1% (30%),Time to Shred
Bouldershock,Rare,EL,lightning+earth,15:00:00,2.5%,4% (15%),1% (30%),1% (30%),Shocked and Shaken
Shockproof,Rare,CL,cold+lightning,12:00:00,5%,10% (20%),1% (30%),1% (30%),Shocked and Rattled
Love,Rare,PFL,Flower+lightning,5:00:00,4%,3% (10%),1% (?%),1% (?%),Heartbreak Hold
Rose,Rare,PFA,Flower+air,14:00:00,5%,3.5% (15%),1% (?%),1% (?%),Nadia's Nursery
Bouquet,Rare,PFW,Flower+water,9:00:00,5%,3% (10%),1% (?%),1% (?%),Floral Flight
Moonstruck,Epic,Mo,Love+Rose,11:54:00,4%,2% (5%),?% (?%),?% (?%),Dungeon of Distractions
Ambrosia,Rare,PFEC,Flower+Delight,23:00:00,5%,4% (10%),1% (?%),1% (?%),The Sweetest Scent
Cuddlewing,Rare,PFEL,Love+Tree,28:00:00,5%,4% (10%),1% (?%),1% (?%),The Snugglening
Rosegold,Rare,PFAM,Rose+Gold,30:00:00,5%,4% (10%),1% (?%),1% (?%),Unencumbered Soar
Stoneheart,Epic,Au,Love+Melancholy,24:00:00,3%,5% (15%),5% (?%),5% (?%),Mort's Moratorium
Smitten,Epic,Au,plant+fire+cold,29:00:00,3%,1% (10%),5% (?%),5% (?%),Overly Attached
Sweetheart,Epic,Au,Stoneheart+Love,29:00:00,2%,1.5% (10%),1% (?%),5% (?%),Bemine Spelunking
Daffadowndilly,Epic,Au,fire+earth+water,15:00:00,3%,1% (5%),5% (30%),5% (30%),Trial of Denial
Petunia,Epic,Au,fire+earth+cold+lightning,16:00:00,3%,1% (5%),5% (30%),5% (30%),Anger Wrangler
Begonia,Epic,Au,water+fire+metal,17:00:00,2%,1% (5%),5% (30%),5% (30%),Brash Bargaining
Cyclamen,Epic,Au,earth+fire+dark,18:00:00,3%,1% (5%),5% (30%),5% (30%),Depression Secession
Amaryllis,Epic,Au,plant+air+light,19:00:00,3%,1% (5%),5% (30%),5% (30%),Archetypal Acceptance
Canna,Rare,PWI,water+plant+light,20:00:00,3%,5% (10%),5% (30%),5% (30%),It Comes In Makeshift Boat
Murano,Rare,PEAI,Glass+Amaryllis,20:00:00,3%,1.5% (5%),1% (30%),1% (30%),Stainless Stained Glass
Scuttle,Rare,EWD,water+earth+dark,20:00:00,3%,1.5% (5%),1% (30%),1% (30%),Free Shell Estate
Giddle,Rare,PEI,earth+plant+light,20:00:00,3%,1.5% (5%),1% (30%),5% (30%),The Perfect Gift
Grace,Epic,Au,Cuddlewing+water+light,22:00:00,2.5%,4% (15%),1% (30%),1% (30%),Two Beautiful Heads
Entwined,Epic,Au,Love+Sweetheart,26:00:00,2.5%,4% (15%),1% (30%),1% (30%),Partner In Crime
Canvas,Epic,Au,Sumi+Iron Blossom,30:00:00,2%,4% (15%),1% (30%),1% (30%),A True Masterpiece
Masque,Epic,Au,Moonstruck+Spritely,32:00:00,1.5%,4% (15%),1% (30%),1% (30%),Who Is Behind The Masque
Buttercup,Rare,ECAI,Giddle+air+light,18:00:00,3%,10% (20%),1% (30%),1% (30%),Fluffy Jewel
Lightmare,Epic,DrMo,Moon+Dream,24:00:00,3.5%,1% (15%),5% (30%),5% (30%),Dreamcatcher
Lumineux,Epic,PFLIDr,Love+dream,24:00:00,3.8%,10% (20%),1% (30%),1% (30%),Group Hug
Orlena,Rare,PFAM,Rosegold+fire,20:00:00,4.25%,10% (20%),1% (30%),1% (30%),Royal Presence
Cupido,Epic,Au,Stoneheart+Sweetheart,26:00:00,4.1%,1% (15%),5% (30%),5% (30%),Lovestruck
Astraline,Epic,Dr,Petunia+air+light,24:00:00,4%,1% (15%),5% (30%),5% (30%),Astral Projection
Mesmer,Epic,Au,Masque+Scorn,30:00:00,3%,1% (15%),5% (30%),5% (30%),Snap Back to Reality
Brutiful,Epic,Au,Thorn+Masque,16:00:00,2.45%,1% (15%),5% (30%),5% (30%),Duality
Divi,Rare,PEAI,Buttercup+Rosebud,18:00:00,2.8%,10% (20%),1% (30%),1% (30%),Rosa Rubiginosa
PrickleFluff,Rare,FCAI,fire+air+cold+light,15:00:00,3.5%,10% (20%),1% (30%),1% (30%),Pursuit of Love
Lovesick,Rare,PFEL,Sweetheart+Cuddlewing,18:00:00,3.1%,10% (20%),1% (30%),1% (30%),Strongest of Potions
Mesmerus,Epic,Au,,30:00:00,0%,0% (20%),0% (30%),0% (30%),Under Your Spell
Nomnoter,Rare,PFCL,Love+Delight,19:00:00,3.5%,10% (20%),1% (30%),1% (30%),Lovely Cuisine
Lovonone,Epic,Au,Cupido+Scorn,27:00:00,2.9%,1% (15%),5% (30%),5% (30%),True Unity
Glassia,Epic,PAIAu,Murano+Rose,34:00:00,2.85%,1.5% (15%),5% (30%),5% (30%),Heart of Roses
Heavy Metal,Epic,Me,Thrasher+Wrath,26:00:00,3.8%,1.5% (15%),5% (30%),5% (30%),Riff Master
Punk,Epic,Me,Decay+Lycan,26:00:00,3.8%,1.5% (15%),5% (30%),5% (30%),Mosh Pit
Techno,Epic,Me,Surge+Kwall,26:00:00,3.8%,1.5% (15%),5% (30%),5% (30%),Electric Shuffle
Country,Epic,Me,Harvest Moon+Seed,26:00:00,3.8%,1.5% (15%),5% (30%),5% (30%),Howdy
Chorister,Epic,Me,Harmony+Yule,20:00:00,3.8%,1.5% (15%),5% (30%),5% (30%),Achoired Taste
Lullaby,Epic,DrMe,Serenity+dream,26:00:00,4.5%,1.5% (15%),5% (30%),5% (30%),Snoring
Sea Shanty,Epic,WMe,Ruckus+Tidal,26:00:00,4.5%,1.5% (15%),5% (30%),5% (30%),Unbearable Tunes
Classical,Epic,Me,Canvas+Rosegold,26:00:00,4.5%,1.5% (15%),5% (30%),5% (30%),The Composer
Brass,Hybrid,FM,fire+metal,5:00:00,*%,10% (20%),1% (?%),1% (?%),Doubley Alloyed
Chrome,Hybrid,AM,air+metal,5:00:00,*%,10% (20%),1% (?%),1% (?%),Ride Eternal
Iron,Hybrid,EM,earth+metal,4:00:00,*%,10% (20%),1% (?%),1% (?%),Iron Will
Magnetic,Hybrid,LM,lightning+metal,4:00:00,*%,10% (20%),1% (?%),1% (?%),Charisma Chasm
Metal,Primary,M,,8:00:00,$%,0% (?%),0% (?%),0% (?%),
Mine,Hybrid,CM,cold+metal,10:00:00,*%,10% (20%),1% (?%),1% (?%),Dramorian Delve
Rust,Hybrid,WM,water+metal,6:00:00,*%,10% (20%),1% (?%),1% (?%),Corrosion Excursion
Steel,Hybrid,CM,cold+metal,14:00:00,*%,10% (20%),1% (?%),1% (?%),Left Turn Lagoon
Copper,Hybrid,LM,lightning+metal,20:00:00,*%,10% (20%),1% (?%),1% (?%),Conductive Conundrum
Forge,Hybrid,FM,fire+metal,24:00:00,*%,10% (20%),1% (?%),1% (?%),Smithy Snafu
Quicksilver,Hybrid,WM,water+metal,18:00:00,*%,10% (20%),1% (?%),1% (?%),Mercurial Madness
Malachite,Rare,PM,metal+plant,12:00:00,5%,4% (15%),1% (?%),1% (?%),Smash Valley
Scoria,Hybrid,EM,earth+metal,22:00:00,*%,10% (20%),1% (?%),1% (?%),Bessemer's Bounty
Ironwood,Rare,PM,plant+metal,12:00:00,5%,4% (15%),1% (?%),1% (?%),Tessa's Trek
Meteor,Hybrid,AM,air+metal,14:00:00,*%,10% (20%),1% (?%),1% (?%),Star Shower
Acid,Hybrid,MD,dark+metal,15:30:00,*%,10% (20%),1% (?%),1% (?%),Corrosive Crater
Palladium,Hybrid,MI,light+metal,5:30:00,*%,10% (20%),1% (?%),1% (?%),Noble Peril
Promethium,Hybrid,MD,dark+metal,8:00:00,*%,10% (20%),1% (?%),1% (?%),Rift Fire Mire
Radiant,Hybrid,MI,light+metal,10:30:00,*%,10% (20%),1% (?%),1% (?%),Heat Wave Havoc
Sulfur,Rare,FM,fire+metal,15:00:00,5%,4% (15%),1% (?%),1% (?%),Putrid Plunge
Mirror,Rare,MI,light+metal,14:00:00,5%,4% (15%),1% (?%),1% (?%),Rorrim Rock
Lodestone,Rare,LM,metal+lightning,25:30:00,5%,3% (15%),1% (?%),1% (?%),Magnet Junket
Thorn,Rare,PM,metal+plant,7:00:00,5%,4% (10%),1% (?%),1% (?%),Spiky Spire Brier
Conch,Rare,WM,metal+water,6:00:00,5%,4% (10%),1% (?%),1% (?%),Mollusca Marina
Molten,Rare,FM,metal+fire,12:00:00,5%,4% (10%),1% (?%),1% (?%),Shi Nee's Saga
Verdigris,Rare,AM,air+metal,7:30:00,5%,?% (15%),?% (30%),?% (30%),Anti-Gravity Antics
Coldforge,Rare,CM,cold+metal,20:00:00,5%,4% (15%),1% (30%),1% (30%),Wimbledrip's Woe
Spore,Rare,PMR,plant+metal+rift+[plant trait],0:00:00,2.5%,0% (0%),0% (0%),1% (15%),Field of Shrooms
Metal Rift,Primary Rift,MR,,48:00:00,$%,0% (0%),0% (0%),1% (15%),Tenacious Drop
Bonescale,Rare,CM,metal+cold,22:00:00,2%,4% (15%),1% (30%),1% (30%),Calcified Crusade
Chitin,Rare,MD,dark+metal,26:00:00,4%,4% (10%),1% (25%),1% (20%),Creepy Crawler
Auroch,Rare,EM,metal+earth,22:00:00,4%,4% (10%),1% (?%),1% (?%),Bullish Tendencies
Drifter,Rare,WM,water+metal,6:00:00,4%,4% (15%),1% (30%),1% (30%),Flowing Riffs
Xanthium,Rare,EM,earth+metal,19:00:00,2.5%,4% (15%),1% (30%),1% (30%),A Prickly Pretense
Thrasher,Rare,LM,lightning+metal,19:00:00,2.35%,4% (15%),1% (30%),1% (30%),Time to Shred
Razortail,Rare,PM,plant+metal,12:00:00,5%,10% (20%),1% (30%),1% (30%),One Prickly Pear
Monolith 1,Epic,Mh,monolith+monolith,2:30:00,20%,0% (0%),0% (0%),?% (0%),
Monolith 2,Epic,Mh,monolith+monolith,2:30:00,20%,0% (0%),0% (0%),?% (0%),
Monolith 3,Epic,Mh,monolith+monolith,25:00:00,5%,0% (0%),0% (0%),?% (0%),
Monolith 4,Epic,Mh,monolith+monolith,25:00:00,5%,0% (0%),0% (0%),?% (0%),
Monolith 5,Epic,Mh,monolith+monolith,40:00:00,1%,0% (0%),0% (0%),?% (0%),
Monolith 6,Epic,Mh,monolith+monolith,24:00:00,1%,0% (0%),0% (0%),?% (0%),
Glyph,Epic,Mh,,16:00:00,0%,0% (15%),0% (30%),0% (30%),Deep Slumber
Hedera,Epic,Mh,,24:00:00,0%,0% (15%),0% (30%),0% (30%),Creeping Charlie
Pixie,Epic,Mh,,18:00:00,0%,0% (15%),0% (30%),0% (30%),Spring bringer
Moon,Epic,Mo,cold+lightning+[night],48:00:00,3%,2% (5%),?% (?%),?% (?%),Lunar Lunacy
Blue Moon,Epic,Mo,cold+lightning,29:31:48,4% (3%),3% (5%),?% (?%),?% (?%),Lunar Blues
Equinox,Epic,SuMo,Blazing+water,24:00:00,3% (2%),2% (5%),?% (?%),?% (?%),Hemisphere Mutineer
Solar Eclipse,Epic,SuMo,earth+air+fire,48:00:00,3% (2%),1% (5%),?% (?%),?% (?%),Age of Alignment
Lunar Eclipse,Epic,SuMo,air+cold+earth,48:00:00,3% (2%),1% (5%),?% (?%),?% (?%),Umbral Plunge
Moonstruck,Epic,Mo,Love+Rose,11:54:00,4%,2% (5%),?% (?%),?% (?%),Dungeon of Distractions
Dawn,Epic,SuMo,Moon+Sun+[day],20:00:00,1%,1% (5%),?% (?%),?% (?%),The Awakening
Dusk,Epic,SuMo,Sun+Moon+[night],20:00:00,1%,1% (5%),?% (?%),?% (?%),Half-light Hunt
Midnight,Epic,Mo,Moon+dark+[night],12:00:00,1%,1% (5%),?% (?%),?% (?%),The Witching Hour
Omen,Epic,ApMo,Moon+Apocalypse,27:00:00,3%,2% (5%),?% (?%),?% (?%),Trial DCLVI
Nightbloom,Epic,PDMo,plant+dark+moon,27:00:00,3% (1.5%),1% (5%),5% (30%),?% (30%),Night Flight
Harvest Moon,Epic,PEWMo,Harvest+Moon,18:00:00,5%,1% (5%),5% (?%),5% (?%),Marigold Moon
Sunscorch,Epic,WDMo,moon+water+dark,42:00:00,5%,1% (10%),1% (?%),1% (?%),Shaded Shelter
Monte,Epic,AISuMo,moon+sun+air+light,12:00:00,2%,1.5% (10%),0.75% (30%),0.75% (30%),Juicy Joy
Sailback,Epic,FWSuMo,moon+sun+water+fire,8:00:00,2%,1.5% (10%),0.75% (30%),0.75% (30%),Aquatic Anathema
Toco,Epic,PASuMo,moon+sun+air+plant,8:00:00,2%,1.5% (10%),0.75% (30%),0.75% (30%),Big-billed Beats
Vibe,Epic,PLSuMo,moon+sun+plant+lightning,12:00:00,2%,1.5% (5%),0.75% (30%),0.75% (30%),Scene Maker
Elegant,Epic,PISuMo,moon+sun+plant+light,12:00:00,2%,1.5% (5%),0.75% (30%),0.75% (30%),Grand Entrance
Ruckus,Epic,FISuMo,moon+sun+fire+light,10:00:00,2%,1.5% (5%),0.75% (30%),0.75% (30%),Bring It On!
